Godot Engine v4.5.stable.official.876b29033 - https://godotengine.org
Vulkan 1.3.215 - Forward+ - Using Device #0: Intel - Intel(R) UHD Graphics

State changed to: 1
Fajen raw_accel: (-0.076994, -0.112585) | applied: (-0.076994, -0.112585) | virtual_vel: (0.060502, 0.276577) | repulsion: 0.16047600994352 | danger_throttle: 1.0
Fajen raw_accel: (-0.07842, -0.128013) | applied: (-0.07842, -0.128013) | virtual_vel: (0.059195, 0.274444) | repulsion: 0.15094109356869 | danger_throttle: 1.0
Fajen raw_accel: (-0.079596, -0.142536) | applied: (-0.079596, -0.142536) | virtual_vel: (0.057868, 0.272068) | repulsion: 0.14182277314831 | danger_throttle: 1.0
Fajen raw_accel: (-0.080537, -0.156183) | applied: (-0.080537, -0.156183) | virtual_vel: (0.056526, 0.269465) | repulsion: 0.13311331346631 | danger_throttle: 1.0
Fajen raw_accel: (-0.081258, -0.168979) | applied: (-0.081258, -0.168979) | virtual_vel: (0.055172, 0.266649) | repulsion: 0.12480433506425 | danger_throttle: 1.0
Fajen raw_accel: (-0.081772, -0.180953) | applied: (-0.081772, -0.180953) | virtual_vel: (0.053809, 0.263633) | repulsion: 0.11688732123002 | danger_throttle: 1.0
Fajen raw_accel: (-0.082092, -0.192129) | applied: (-0.082092, -0.192129) | virtual_vel: (0.052441, 0.260431) | repulsion: 0.10935297200922 | danger_throttle: 1.0
Fajen raw_accel: (-0.082232, -0.202533) | applied: (-0.082232, -0.202533) | virtual_vel: (0.05107, 0.257055) | repulsion: 0.10219218954444 | danger_throttle: 1.0
Fajen raw_accel: (-0.082205, -0.212189) | applied: (-0.082205, -0.212189) | virtual_vel: (0.0497, 0.253519) | repulsion: 0.09539512416814 | danger_throttle: 1.0
Fajen raw_accel: (-0.082021, -0.22112) | applied: (-0.082021, -0.22112) | virtual_vel: (0.048333, 0.249833) | repulsion: 0.08895188540919 | danger_throttle: 1.0
Fajen raw_accel: (-0.081693, -0.22935) | applied: (-0.081693, -0.22935) | virtual_vel: (0.046971, 0.246011) | repulsion: 0.0828519728384 | danger_throttle: 1.0
Fajen raw_accel: (-0.081232, -0.236901) | applied: (-0.081232, -0.236901) | virtual_vel: (0.045618, 0.242062) | repulsion: 0.07708507048665 | danger_throttle: 1.0
Fajen raw_accel: (-0.080647, -0.243795) | applied: (-0.080647, -0.243795) | virtual_vel: (0.044273, 0.237999) | repulsion: 0.07164013345027 | danger_throttle: 1.0
Fajen raw_accel: (-0.07995, -0.250053) | applied: (-0.07995, -0.250053) | virtual_vel: (0.042941, 0.233832) | repulsion: 0.06650636147242 | danger_throttle: 1.0
Fajen raw_accel: (-0.07915, -0.255695) | applied: (-0.07915, -0.255695) | virtual_vel: (0.041622, 0.22957) | repulsion: 0.06167231296422 | danger_throttle: 1.0
Fajen raw_accel: (-0.078256, -0.260743) | applied: (-0.078256, -0.260743) | virtual_vel: (0.040318, 0.225224) | repulsion: 0.05712701089215 | danger_throttle: 1.0
Fajen raw_accel: (-0.076318, -0.213133) | applied: (-0.076318, -0.213133) | virtual_vel: (0.039046, 0.221672) | repulsion: 0.0007671189378 | danger_throttle: 1.0
Fajen raw_accel: (-0.075413, -0.224794) | applied: (-0.075413, -0.224794) | virtual_vel: (0.037789, 0.217926) | repulsion: 0.00074929982657 | danger_throttle: 1.0
Fajen raw_accel: (-0.074423, -0.23522) | applied: (-0.074423, -0.23522) | virtual_vel: (0.036548, 0.214005) | repulsion: 0.00073196319863 | danger_throttle: 1.0
Fajen raw_accel: (-0.073356, -0.244475) | applied: (-0.073356, -0.244475) | virtual_vel: (0.035326, 0.209931) | repulsion: 0.00071507081157 | danger_throttle: 1.0
Fajen raw_accel: (-0.072221, -0.252621) | applied: (-0.072221, -0.252621) | virtual_vel: (0.034122, 0.20572) | repulsion: 0.00069865549449 | danger_throttle: 1.0
Fajen raw_accel: (-0.071026, -0.259716) | applied: (-0.071026, -0.259716) | virtual_vel: (0.032938, 0.201392) | repulsion: 0.00068261416163 | danger_throttle: 1.0
Fajen raw_accel: (-0.069664, -0.265162) | applied: (-0.069664, -0.265162) | virtual_vel: (0.031777, 0.196972) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.068385, -0.270391) | applied: (-0.068385, -0.270391) | virtual_vel: (0.030637, 0.192466) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.067065, -0.274733) | applied: (-0.067065, -0.274733) | virtual_vel: (0.02952, 0.187887) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.065709, -0.278241) | applied: (-0.065709, -0.278241) | virtual_vel: (0.028425, 0.18325) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.064324, -0.280965) | applied: (-0.064324, -0.280965) | virtual_vel: (0.027352, 0.178567) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.062915, -0.282953) | applied: (-0.062915, -0.282953) | virtual_vel: (0.026304, 0.173851) | repulsion: 0.0 | danger_throttle: 1.0
